,Unnamed: 0,Language,USER_COMMENT,Toxicity,Obscene,Insult,Sexual_Explicit,Identity_Attack,Threat,not_offensive
38,38,E,"As long as you are happy with the turnout, good luck to you.

But please note that the protest was not against Islam but about terrorism from ISIS,

Please also note that I have no grudge or hatred against Muslims, in actual fact I have quite a few friends who are of Muslsim faith and we are on very good terms -any religion is free for everybody. The vast majority, including myself, are against extremism and terrorism.",0,0,1,0,1,1,0
39,39,E,As soon a threatening report is made i will ask for psychiatrist help and person get psychiatrist help and looked in Mental health hospital.,1,1,1,0,1,0,0
40,40,E,"At any serious emergency department patients are seen according to urgency and not according to their medical history.

I had an elderly patient with a fractured ankle pretending to skip other patients with more serious presenting complaints because he was a ‘heart patient.’

As for the hospital it wasn’t a Labour government who decided to replace St Luke’s with a smaller hospital. The excuse of the ‘overpopulation’ is laughable to say the least. Mater Dei has been full up ever since opening its doors in 2007.

The vast majority of the foreign workers coming to Malta are actually people younger than 40 years. Who do you really think is using our hospitals the most???

Also hundreds of these foreigners who according to you are overpopulating us are actually the ones which keep our hospitals and elderly homes running.",1,0,0,0,0,0,0
41,41,E,At first you bring thousands of unskilled TCNs and then you deport them,1,0,0,0,1,0,0
42,42,E,At last.. A man taking this take over in hand and fighting back... He is right... We are being taken over.. . Were no racist... Were realists'!!!,0,0,0,0,0,0,1
43,43,E,"At my workplace many maltese including me, most of the times are happy that these TCN work at the weekends so we can go out and enjoy a weekend out with our loved ones. if it isn't these TCN's working with us, most of the time our weekends are ruined, and forced to work, if i ask my colleague to replace me in the weekend they would happily do it. and i am happy that i get my weekends out with family and friends. let's face the truth, sa ma jsodulna it-toqqob hemmek kollox sew.",0,1,0,0,1,0,0
44,44,M,Avolja ir-ragel taghha mar jaghmel rapport l-ghassa tal-Mosta fi zmien il PN,0,0,0,0,0,0,1
45,45,M,"Aw Gobna, mela ergajt qomt, Issa nistaqsu lil-Jurgen ghal Happy ending, ghandkom imbarazz min jaqdieh, tiftakarhom il-Blue films tal-pompom girls, dejjem kontu partit serju intkhom",1,0,1,1,1,0,0
46,46,M,"Balla stupidi. Dan kien se joqtol lil martu u hadd ma kien jzommu.
U xi jridu? Titfa' ragel il-habs u fuq x'hiex? U billi jarrestawh talli kisser ordni tal-qorti, kemm se jzommu maqful?",1,1,0,0,0,0,0
47,47,E,"Because as Boris B understands it Human resource is already a problem in many organisations. So Shall we import Asians in our police force?

Your logic and reasoning is first class.",0,0,0,0,0,0,1
48,48,E,Because you cannot arrest people according to your logic. It is more legally complicated than you think.,0,0,0,0,0,0,1
49,49,E,"Being all good Catholics, all the board members, were mesmerised as they all believed they they were witnessing a miracle! Such a holy person, had to be rewarded €450 a month!",0,0,0,0,0,0,1
50,50,E,Being sent from the polyclinic doesn't mean that you're a life threatening case. Most cases are sent from polyclinics because some services ARE NOT available at that level.,0,0,1,0,0,0,0
51,51,E,"Bernice husband is an idiot to murder a person.

But why are you protesting when nobody knows the real motive behind this crime?",1,1,1,0,1,0,0
52,52,E,"Bernice reported his violence many times.
Why did the police not arrest him?

1. Because they don't care?
2. Because they did not take her seriously?
3. Beause the aggressor has connections?
4. Because the police are not legally trained?

If you are a SERIOUS police force, you would arrest a person who has been reported IMMEDIATELY.",0,0,0,0,0,0,1
53,53,M,Biex gharraftu xi CUC MALTI kif qallek Tonio ex minister,1,0,1,0,1,0,0
54,54,E,"Bla bla bla…

You should travel around to see what is the current situation.

TCN are all over the EU and the European Space Area. Even in Tromso in the very north of Norway you find lots of TCN.

It is easy to scribble your conclusions here but it’s better to see what is happening around us, to which we have little control.",1,0,1,0,1,0,0
55,55,M,"Bravu Cassola tal-paprati kontinwi li qed taghmel.

Ghallinqas tkomplix tahli hin u flus pubblici fuq ic-cucati li tohlom bihom.",0,0,0,0,1,0,0
56,56,E,"But I won't bow to your degrading adjectives.

Every time you send in a comment you prove who you are and what you're worth.",0,0,1,0,1,0,0
57,57,E,But are guns helping children and students and customers in mass usa shootings. Biden has just said that he wanted tighter controls and rightly so.,0,0,0,0,0,1,0
58,58,E,But it didn’t happen anywhere. Testaferrata street is frequented by prostitutes and drug addicts. Think of the Polish woman killed by that other degenerate. Feeding cats at 5am. Independence Gardens are also dodgy at night with drug addicts lurking in the shadows. Expat women who travel alone without family are more vulnerable they have to be more careful and not wonder alone at night,1,1,1,0,1,1,0
59,59,E,But the usual moaners expect that Malta carries the full weight while the rest of EU countries just look on.,1,0,0,0,0,0,0
60,60,M,Cafcaf papru la sibt l ilma. Ara li ghandek set impellers u alternor belts zejda ghal li jista jkun u ccekja l pompi tat toilets u l fresh water u itlaq lejn ragusa. Ghax ghal dak ix xoghol tajjeb int. By the way….jaf narak,1,0,1,0,1,0,0
61,61,E,"Can someone explain why the Court has to go through such a lengthy witness calling show for compilation of evidence, when there is the ultimate proof held on videos showing the accuse performing his act? The act of murdering someone is already enough to bring a person to trial.

Whether the murder was premeditated etc could be proven during the trial which could start in 3 months time.
The present process is really and truly more than waste of time, but than we talk about delays at the Courts.",0,0,0,0,0,0,1
62,62,E,"Can we at least hope that THIS laptop won't go missing, and that the attorney general's team double check the dates on the prosecution documents?",0,0,1,0,0,0,0
63,63,E,Can we send them to Canadaaa then? They would rather be there then here for obvious reasons,0,0,0,0,0,0,1
64,64,E,"Capital punishment, the only solution for this Jeremie Camilleri type of scum.",1,1,1,0,1,1,0
65,65,E,"Case raising serious questions?

It, and certainly so many others like it, maybe even more serious, too should raise much more than 'serious questions'.

'Serious thoughts' about how many more places are need in prison should rather be the on the authorities' agenda.!",0,0,0,0,0,0,1
66,66,E,"Cause its unsustainable simples. What's the point of having loads of Gahans opening the same thing. You have three options at that point

a- fill the islands with more people. That's already ridiculous considering how overpopulated we are
b- subsidize them either directly or indirectly (ie by allowing them to import as many cheap slaves as possibly)
c- let them go bankrupt

Each option will only bring tears. People need to be protected by themselves. That's the government's job to do so. The common Gahan doesn't have the data the government has",0,0,0,0,0,0,1
67,67,E,Collusion has been rampant throughout the ages and throughout all sort of societies. Actually I believe it is another tool that is needed to make life on earth either exciting for some or desperate for others.,0,0,0,0,0,0,1
68,68,E,"Collusion seems to be rampant under labour. All the deals done in its time have been considered corrupt and illicit.

In your small brain, collusion means anything that goes against your hidden agenda..",0,0,1,0,1,0,0
69,69,E,Come on! Show some respect! Do you think this article is really needed? I can't stand articles grabbing pictures and videos from social media profiles and labelling it as journalism.... especially when the person is dead!,0,0,0,1,1,0,0
70,70,E,Communism?,0,0,1,0,0,0,0
71,71,E,Cornered rat. Another interview on smexx is due,0,0,1,0,0,0,0
72,72,E,"Curiously, no one seems to be assuming that misandry was his motive for attacking the two men.",0,0,0,0,0,0,1
73,73,M,"Dak biex igibu l voti u jibqghu fil gvern plus li jithanzru lkoll. (malta nithanzru lkoll). Qeghed jahdmuha bizzilla. U gafa' u ta qablu jghattu kollox, halli jghidu fejn huma l - provi!?",0,0,1,0,1,1,0
74,74,M,Dak eccezzjoni jkun u wiehed f'miljun. Minn dejjem kien hemm nies bhalu. Qatt ma qrajt fuq il-Borgias? Qatt ma qrajt fuq certi familji li jkunu jghixu mbeghdin minn nies? Nies perversi.,0,0,0,0,1,0,0
75,75,M,"Dak il motto il gdid taghhom , ghax zgur li m'ghadhomx partit tal haddiem !! Zgur li le !!",0,0,0,0,0,0,1
76,76,M,Dan miskin mohhu cooker…u int mohhok toaster……,1,1,1,0,1,0,0
77,77,M,Dan x'annimal hu?!,0,0,1,0,0,0,0
78,78,M,Daqqa ta' firma u ejja ħa mmorru ngħumu.,1,0,0,0,0,0,0
79,79,M,"Daqs kemm nigi nitnejjek jien ukoll li int qieghed tixrob il-lumi maghsur kuljum. U ghad fadallek man biex tibda tgawdi jekk ma tkunux sfaxxajtu sa dak in-nhar. Ic-cucata hi li taht il-PL mam tbaghatux daqs kemm il-Plers ibaghtu meta jkun hemm mintomm fil-gvern .Ha nghidlek ,anki intom in-nies komuni tbatu taht in-Nats imma l-iblah taqlaghlu ghajnejh jifrah ,jghidu. Int blajt it-taxxi u l-Gonz jeghrda 600Eu fil-gimgha.Int tajt id-donazzjoni u haddiehor li ma jiswiex sold jibni l-palazz, u l-partit fallut. Ma nispiccaw qatt jekk inkomplu fuq il-korruzzjoni u s-serq taghkom. Anki il-Kapo u ta' qablu ma tantx kienu korretti, U ta' qabilhom dabbar id-direct orders u dabbar rasu. Aqta' jiesek li xi darba fil-futur qarib se tispicca bil-gravy f'halqek. Bhad-Diva se tispicca---tiehu r-ras.",1,1,1,1,1,0,0
80,80,E,Dastardly and devilish Coudenhove-Kalergi population replacement plan b eung implemented by the EUSSR DICKtators,0,0,0,0,0,0,1
81,81,E,"David abandoning a sinking ship? Like rats, trying to get a grip on the EU soft cushion post.",0,0,0,0,1,0,0
82,82,M,"Defo,,li tibda protesta mil post il hazin huwa bizzejjed biex tinduna bil motivazzjoni,,Il pulizijja milli smajna sa issa hija l-inqas wahda li ghanda tort,,xoghla jidher li kienet ilha li ghamlitu imma il qorti iddeciediet flok thaffef u taqta il kas u taghmel il kundizzjonijjiet ,,farfret bhas soltu bi protection 
order u halliet l-affrijjiet jishnu b-decizjonmijjiet zbaljati fuq it tfal,, biex wara jibdew jinstema l-kas sena ohra...Taf li pulizijja biex jarrestak fuq rapport l-ewwel irid ikollu il permess bil miktub minghand il qorti biex jaghmel hekk ??? Qeghdin tghidu li il vittma ghamlet rapport 24 siegha qabel giet 
maqtula ,,taf li probabli anke jekk il pulizijja talbet il permess biex tarrestah zgur li l-qorti ma hargietx il permess f-24 sigha ??? iccekkja l-affarijjiet sewwa l-ewwel ghax jiena bhala bniedem mgarrab nafom sewwa kif isiru l-affarijjiet mil pulizijja u l-vroma qorti li ghandna..",1,0,1,0,0,0,0
83,83,M,"Dik jonqos hawn Malta!
Jekk tara li statistika Americana titwaħħax. Apparti ammont enormi ta omiċidji premeditati, ikun hemm ħafna imwiet u korriment aċċidentali bl ammont ta armi li hemm f'lidejn.
Tragedji kbar ikun hawn.",0,0,0,0,0,1,0
84,84,M,Disgraced ghax kissirlek il-PN sur reporter ta'sold u nofs?,0,0,1,0,1,0,0
85,85,E,Diviz met Netanyahu for Christmas and was involved with with Mr Jay sin!,0,0,0,0,0,0,1
86,86,E,Do you mean a happy ending?,0,1,0,1,0,0,0
87,87,E,"Don't do the crime, if you can't do the time.

Someone used to say: Let the institutions work and now this same desperado is hopefully running out of options to delay justice even further.

The Panama Gang deserves to rot in jail. ALL of them!",0,0,1,0,1,1,0
88,88,E,Don't fit the media's agenda probably.,0,0,0,0,0,0,1
89,89,E,Don't look and you won't find!,0,0,0,0,0,1,0
90,90,M,"Downt worrij issa jiċij ċowsef muskrat il-Messija imwiegħed fil-bibja u jihu sold mit- teżor ta Malta, jamel meġik trikk, idaħħal idejh fil-banek u jitfa triljuni bix insolvu l proplemi kolla",1,0,1,0,1,0,0
91,91,E,"Elderly in Malta, first and foremost, need empathy from carers by profession and not foreigners whose only drive is money.",0,0,1,0,1,1,0
92,92,E,Erm.....allah hu akbar?,1,0,1,0,1,0,0
93,93,E,"Exactly what I was thinking. Let her loved ones cherish her memory. What is defined as journalism in the modern day controversial woke dictionary (if ever wokism has any definition of anything, or any meaning to any word at all) is sensational emotions rather than rational reason. A trait which explains why journalists have completely lost any semblance of transparency and credibility.",0,0,0,0,0,1,0
94,94,E,"Exactly. It is not the national governments who are importing TCNs, it's TCNs themselves who now can freely come to the EU to look for jobs since they have been granted visa -free travel by the EU.

If they don't find a job in one country (which let's be honest, they will find since every EU country is lacking enough workers), they can simply find another one in another member state.

After five years they don't even have to do that any longer and can bring their family over too.

Typical Maltese mentality is that our government is causing this, when the system is controlled (or rather 'lost' control) elsewhere. And as you seay this is happening all over Europe.",0,0,0,0,0,0,1
95,95,E,Fair enough. Then why do you feel you're an expert on Maltese matters when you clearly don't know what's going on here? I lived abroad and I currently live in Malta. There's a huge difference between visiting a country and actually living in it.,0,0,0,0,0,0,1
96,96,M,Falz kollok !,0,0,1,0,0,0,0
97,97,M,"Falz kollu, u moħħ ta' piżellu jkun bniedem bħalhekk li ma jgħarafx verita' sura u ma jafx jgħamel argument mingħajr ma joffendi lil min ma jaqbilx miegħu.",0,0,0,0,1,0,0
98,98,M,Fenkati,0,0,1,0,1,0,0
99,99,M,Fil siegha nejk insomma . Grazzi talli dahaqtni dalghodu . Strieh fis sliem nann,0,0,1,0,0,0,0
100,100,E,First the 'Illegal' Immigrants... now it's the Gays/Lesbians already. When will the Jews and the Commies come into it Lawrence?,1,1,1,1,1,1,0
101,101,E,"For severe disability benefits a consultant's certificate for total paralysis (again obviously forged) along with the GP's description of the disabiltyis needed. If the medical board doctors didnt flag this discrepancy between a specialist paralysis certificate of a walking patient, then the doctors on the medical board are probably part of the racket on the usual 'ghaddihuli il dan ta ' conspiracy.",0,0,0,0,0,0,1
102,102,E,"For your information I travel most of the year. It seems that you do not travel at all. If you come from a Schengen country, you are not checked at all. You just flow through.

So the nationals and people having free movement in any of the following countries can enter Malta without showing their passports or identity : Austria, Belgium, 
Croatia, the Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden and Switzerland.",0,0,0,0,1,0,0
103,103,E,"Foreign nurses are already leaving Malta and moving to UK as they are offered way higher salary and better conditions
Let's make them leave Malta faster and then whine there are not enough people in healthcare ?

From ToM article a year ago -
Sources close to the profession said around 140 nurses have either already resigned or are in the process of submitting their resignations as they are lured away from Malta with more favourable working conditions and a better remuneration package

In the meantime let's keep bringing thousands of food couriers and taxi drivers. They are much more important than nurses and they only need to speak English ?",0,0,1,0,0,0,0
104,104,M,"Forsi wara li kiser ordni tal-qorti, gie arrestat, zammewh ghal ftit zmien biex ezaminawh / kelmuh nies esperti biex jikkonvencuh u jikkalma, forsi ma kienx isehh dan id-delitt. Dawn il-proceduri kienu jsiru u frankaw hafna nkwiet, anke forsi delitti. Ghidta inti stess paroli fil-vojt specjalment meta ma tkunx esperjenzajt dawn is-sitwazjonijiet.",0,0,1,0,0,0,0
105,105,E,"From the Gospel of Silvio Grixti 5.8: Get up, take your mat, and walk! Oh, and thou shalt vote Labour!",1,0,1,0,1,1,0
106,106,E,Gaetano is having a meeting with Profs Gauci now,0,0,0,0,0,0,1
107,107,M,Gahan bil provi,1,0,1,0,1,0,0
108,108,E,Gahan with a diploma hung around your neck,0,0,1,0,1,0,0
109,109,M,Ghadek tidgerbeb ? Lol !,0,0,0,0,0,0,1
110,110,M,"Ghajjejt nghix f'pajjiz fejn kollox sar xejn mhu xejn. Tinqatel mara, wliedha iltiema minnha, jghaddu jumejn ohra u ninsew kollox. Pajjiz fejn il-kultura tar-rizenji lanqas nafu biss kif tinkiteb, ahseb u ara kemm naddottawha. Pajjiz fejn il-politici jghidulna erba kelmiet taparsi qalu xi haga, imma kollox jaqa fuq ommha. Fuq il-kaz tal-lum qed nistennew il-verita, xejn inqas mill-verita. Sirna pajjiz medjokri ! Issa tara imbilli nghidulha tistrieh fis-sliem lil din il-mara!",1,0,0,0,0,0,0
111,111,M,"Ghal informazzjoni tieghek, jekk ma tafx dan il-port kien inbena minn Gvern Laburista.",0,0,0,0,1,0,0
112,112,M,"Ghamiltu 25 mfarkin u mkissrien intom.... 10 snin ilkom fil-gvern u kissirtu Malta bil hmieg, bini u korruzjoni !",0,0,1,0,1,0,0
113,113,M,Ghandek bzonn massag bil-happy ending. It-Tajlandja jhobbu jaghmluhom.,0,0,0,0,1,0,0
114,114,M,"Ghandek ragun biex tbigh ,man. Min jaf kieku dil-povra mara, jew missiera, helsu minnu qabel qatilha x'kienet tghid il-ligi? Tghid ma kienux jehlu xi xebgha habs talli iddefensew ruhhom?",0,0,0,0,0,0,1
115,115,M,Ghandna sistema legali mibnija biex izomm l kriminali barra u l avukati sinjuri,0,0,0,0,0,1,0
116,116,M,Ghax l-ohrajn xoghol u n-Nisa mohbija. U bil-vannijiet bit-riklam. U bla ktieb.,1,1,1,0,1,0,0
117,117,M,Ghax ma marx isib wahda l-gzira?,0,0,1,1,1,0,0
118,118,E,"Goverment to vote in end of birth certificates which risks a breach of personal information
Goverment to cancel driving tests that discriminates against those who can driver properly and those that cant
MPs always looking after your rights
Whilst your smothered in high rise flats concrete and population reaches 1 million by end of 2024
And return of e scooters as another back track on getting rid of them
Future is looking bright gahans",1,0,1,0,1,0,0
119,119,M,Grazzi lil dak il-ĠUDA u ŻIBEL minn Birkirkara kif qallu sieħbu stess li bil-gideb tiegħu reġa' ġabna kolonja tal-barrani tal-EUSSR,1,1,1,0,1,0,0
120,120,E,"Guillotine is too merciful, so gallows it is ?",0,0,1,0,0,1,0
121,121,M,"Għadek ma tafnix biżżejjed. Kieku tidħak iktar. Biss nies bħalhekk jiddispjaċini ngħidha, ma jdaħkuniex.
Fuq li jkollok il-grazzja li lħaq issir nannu fil- ħajja hija grazzja kbira immens. J'Alla jkollok dik il-grazzja li għandi jien.
Bi tfal madwarek ma tistieħ qatt. Nisrieħ fis-sliem meta mmut, sabiħ.",0,0,0,0,0,0,1
122,122,E,"Hang the bastards, no one will miss them.",1,1,1,0,1,1,0
123,123,E,"Has anyone noticed that we have a worrying malady that has recently taken hold of our society?

It is characterized by the inability to remember anyone or anything, or take responsibility for what ever goes wrong.",1,0,1,0,1,0,0
124,124,M,"Hawn xi BAHNAN jemmen, li inkjesta bhal din setghet saret f'sitt xhur?!!!",0,0,0,0,0,0,1
125,125,E,He is after any vote to get out of the PNers madness!,0,0,1,0,1,1,0
126,126,E,"He is not a victim, the victim lay half dead and was stoned in an act of barbarism. The victims are those around him who endured him. When he began taking drugs it was a conscious choice from a controlled mind. His vice and inability to stop it brought a tragedy and his victim was a happy young woman hoping to live a full life. I have zero sympathy for drug users, their licenses should be revoked because they have a weapon at hand.",0,1,0,0,1,0,0
127,127,E,He is panicking and sweating like a pig as the hands of justice squeezes his sterile big balls.,0,1,1,0,0,1,0
128,128,E,"He is right. Helping refugees needs to be a COLLECTIVE effort, not an individual country one. Resettling them in places where labour is needed is a starter. And there needs to be work to improve living conditions in the countries they run away from.",0,0,0,0,0,0,1
129,129,E,"He should never be released on bail, the court needs to enforce the law, bail should be refused until he goes to trial and is sentenced, and the time spent in prison before his trial should not be deducted from his sentence, I am against women take advantage of man because the law gives them the edge but not this kind of violence, he will face a bigger trail after this in front of the almighty God and he should fear the latter more than the former .... How can some people be so cruel to subject someone they profess to love to such a treatment and kill them, as a God-fearing loving man I hate to say this but if she was my daughter I would do anything to go to prison and share the same space with him, he would not be smirking then, like I said I say this with a heavy heart I hope the Lord God would never test me in such way with my daughters.",0,0,0,0,0,0,1
130,130,M,Hekk hu biex ma nsemmux il-mazunerija li hi prevalenti fil-qrati u nfirxet qisha l-pesta ta 1346 f’dan il pajjiz.,1,0,0,0,0,0,0
131,131,M,Hekk hu.,0,0,0,0,0,1,0
132,132,M,"Hekk irid il-Labour biex huma u c-crieki taghhom ikomplu jithanzru u jiffangaw. L-aqwa li lil Gahan jipprova jaghlaqlu halqu bis-sussidji, cekkijiet u jobs mal-gvern u kuntratturi tal-gvern.
L-aqwa zmien ghalihom u l-kuntratturi shabhom.
Koppji gradwati b'degree gabuhom jippruvaw irabbu familja gol-gabubi.",1,0,1,0,1,0,0
133,133,M,"Hekk tahseb George inti!, dik jghidula 'reverse engineering', Ara min ghandhu daqxejn melh go mohhu jahseb illi tpogga hemm 'ghal kontinwieta' kif qal hu stess, jiggifier ikompli nahdmu biex hadd ma jehel, hadd ma jitressaq u ntawlu kemm nifilhu kif fil-fatt qed jigri, Gahan.",0,0,1,0,0,0,0
134,134,M,Hemm espressjoni bil-Malti Jaqtaw il bxxd barra biex jinku l-mara !,1,1,1,0,1,1,0
135,135,M,Hemm wahal mohhok! Ghandek diska ohra?,1,0,1,0,1,0,0
136,136,E,"Hemm x'hi dubju meta tara kif kienu jilhqu il magistrati !
#he new magistrates are Doreen Clarke, Edwina Grima and Anthony Ellul. All three are under 40 and were chairmen of the Small Claims Tribunal.2007",0,0,0,0,1,0,0
137,137,E,"Here is some commonsense which unfortunately not so common anymore;-
Stopping illegal immigration would mean that wages would have to rise to a level where Americans(or Maltese) would want the jobs currently taken by illegal aliens.
Thomas Sowell : a Black-American Economics Professor",1,0,1,0,0,0,0
138,138,E,"Here we go again, another PN supporter you needs to educated. If you don't know by now it's because you don't wanna know.",0,0,0,0,1,0,0
139,139,E,Hey dopey it was PN who did that.,1,1,1,0,1,0,0
140,140,E,His surname should be changed from Cassola to paprati..arnold paprati,1,1,1,0,1,0,0
141,141,E,"Human resource is already a problem in many organisations.

Shall we import Asians in our police force?",1,0,1,1,1,0,0
142,142,E,I agree but forget it. Can you mention any politician in Malta who finished up in jail?,0,0,1,0,0,0,0
143,143,E,"I agree, stop using this poor girl for click-bait... this is not on....",0,0,0,0,1,0,0
144,144,E,"I bow to your great experience dickwipe.
I mentioned clergy as you HYPOCRITES go crazy about such stories but loose your tongues when priests are involved.",1,1,1,0,1,0,0
145,145,E,I definitely do not believe that only a quarter of Maltese businesses are employing nationals from outside the EU when in EVERY shop/store/business you're mostly greeted by Indians. Unless India has become part of the EU without my knowledge.,0,0,1,0,0,1,0
146,146,E,I did live in Malta and left for Australia because there were no jobs in Malta at the time.,0,0,0,0,0,0,1
147,147,E,I didn't understand the need to protest. Everyone should have protested not only muslims. Certainly not that like all muslims are the same. If they are ISIS sympathetic they shoud be kicked out of here but of which we'll never know until someone strikes,1,0,0,0,0,0,0
